Category,Bucket,% of Audience
Age,13–17 (Teen),3%
Age,18–24 (Young Adult / Gen Z),22%
Age,25–34 (Early Career / Younger Millennial),31%
Age,35–44 (Mid Career / Older Millennial + Gen X),20%
Age,45–54 (Experienced Professional / Older Gen X),12%
Age,55–64 (Late Career / Early Retiree),7%
Age,65+ (Senior),5%
Gender,Male,57%
Gender,Female,42%
Gender,Non-binary / Other,0.5%
Gender,Prefer not to say,0.5%
Location,Urban,55%
Location,Suburban,25%
Location,Rural,20%
Location,Domestic (same country),70%
Location,International (cross-border audience),30%
Location,Specific region: North America,25%
Location,Specific region: Western Europe,20%
Location,Specific region: APAC,30%
Location,Specific region: LATAM,15%
Location,Specific region: Middle East & Africa,10%
Income,Low income (<$30k),20%
Income,Lower-middle ($30k–$50k),30%
Income,Middle ($50k–$75k),25%
Income,Upper-middle ($75k–$150k),15%
Income,High income ($150k+),10%
Profession,Student,15%
Profession,Entry-level / Early career (0–3 yrs),20%
Profession,Mid-level professional (4–10 yrs),25%
Profession,Senior professional / Manager (10+ yrs),15%
Profession,Executive / C-suite,5%
Profession,Self-employed / Entrepreneur,8%
Profession,Skilled trade / Manual labor,7%
Profession,Unemployed / Career transition,5%
